[GIN] 2025/06/17 - 11:03:57 | 200 |      1.0408ms |             ::1 | GET      "/user/validate"
[GIN] 2025/06/17 - 11:03:58 | 200 |       1.062ms |             ::1 | GET      "/category"
[GIN] 2025/06/17 - 11:03:58 | 200 |       581.1µs |             ::1 | GET      "/item"
[GIN] 2025/06/17 - 11:03:58 | 200 |            0s |             ::1 | GET      "/item/quantity/1"
[GIN] 2025/06/17 - 11:03:58 | 200 |            0s |             ::1 | GET      "/item/quantity/2"
[GIN] 2025/06/17 - 11:04:01 | 200 |       511.8µs |             ::1 | GET      "/category"
[GIN] 2025/06/17 - 11:04:05 | 403 |       513.7µs |             ::1 | POST     "/item"
[GIN] 2025/06/17 - 11:04:08 | 200 |       527.1µs |             ::1 | GET      "/category"
[GIN] 2025/06/17 - 11:04:08 | 200 |            0s |             ::1 | GET      "/item"
[GIN] 2025/06/17 - 11:04:08 | 200 |            0s |             ::1 | GET      "/item/quantity/1"
[GIN] 2025/06/17 - 11:04:08 | 200 |            0s |             ::1 | GET      "/item/quantity/2"
[GIN] 2025/06/17 - 11:04:12 | 200 |       615.7µs |             ::1 | GET      "/category"
[GIN] 2025/06/17 - 11:04:16 | 200 |    185.1237ms |             ::1 | POST     "/user/login"
[GIN] 2025/06/17 - 11:04:16 | 200 |       524.1µs |             ::1 | GET      "/user/validate"
[GIN] 2025/06/17 - 11:04:17 | 200 |       558.8µs |             ::1 | GET      "/category"
[GIN] 2025/06/17 - 11:04:17 | 200 |       572.1µs |             ::1 | GET      "/item"
[GIN] 2025/06/17 - 11:04:17 | 200 |            0s |             ::1 | GET      "/item/quantity/1"
[GIN] 2025/06/17 - 11:04:17 | 200 |            0s |             ::1 | GET      "/item/quantity/2"
[GIN] 2025/06/17 - 11:04:20 | 200 |       516.4µs |             ::1 | GET      "/category"
[GIN] 2025/06/17 - 11:04:23 | 200 |      2.9341ms |             ::1 | POST     "/item"
[GIN] 2025/06/17 - 11:04:23 | 200 |            0s |             ::1 | GET      "/category"
[GIN] 2025/06/17 - 11:04:23 | 200 |            0s |             ::1 | GET      "/item"
[GIN] 2025/06/17 - 11:04:23 | 204 |            0s |             ::1 | OPTIONS  "/item/quantity/3"
[GIN] 2025/06/17 - 11:04:23 | 200 |      1.4352ms |             ::1 | GET      "/item/quantity/1"
[GIN] 2025/06/17 - 11:04:23 | 200 |      1.4352ms |             ::1 | GET      "/item/quantity/2"
[GIN] 2025/06/17 - 11:04:23 | 200 |         560µs |             ::1 | GET      "/item/quantity/3"
[GIN] 2025/06/17 - 11:05:29 | 200 |       515.5µs |             ::1 | GET      "/user/validate"
[GIN] 2025/06/17 - 11:05:31 | 200 |       538.3µs |             ::1 | GET      "/category"
[GIN] 2025/06/17 - 11:05:31 | 200 |         579µs |             ::1 | GET      "/item"
[GIN] 2025/06/17 - 11:05:31 | 200 |            0s |             ::1 | GET      "/item/quantity/1"
[GIN] 2025/06/17 - 11:05:31 | 200 |       511.5µs |             ::1 | GET      "/item/quantity/2"
[GIN] 2025/06/17 - 11:05:31 | 200 |     29.1078ms |             ::1 | GET      "/item/quantity/3"
[GIN] 2025/06/17 - 11:05:31 | 200 |       587.6µs |             ::1 | GET      "/location"
[GIN] 2025/06/17 - 11:05:32 | 204 |            0s |             ::1 | OPTIONS  "/location/1"
[GIN] 2025/06/17 - 11:05:32 | 200 |       532.7µs |             ::1 | GET      "/location/1"
[GIN] 2025/06/17 - 11:05:34 | 200 |      1.4817ms |             ::1 | GET      "/location"
[GIN] 2025/06/17 - 11:05:39 | 200 |      1.2616ms |             ::1 | POST     "/location"
[GIN] 2025/06/17 - 11:05:39 | 200 |            0s |             ::1 | GET      "/location"
[GIN] 2025/06/17 - 11:05:44 | 204 |            0s |             ::1 | OPTIONS  "/location/2"
[GIN] 2025/06/17 - 11:05:44 | 200 |       512.1µs |             ::1 | GET      "/location/2"
[GIN] 2025/06/17 - 11:05:45 | 200 |      1.0173ms |             ::1 | PUT      "/location/2"
[GIN] 2025/06/17 - 11:05:45 | 200 |       542.2µs |             ::1 | GET      "/location"
[GIN] 2025/06/17 - 11:05:46 | 200 |       570.8µs |             ::1 | GET      "/role"
[GIN] 2025/06/17 - 11:05:46 | 200 |            0s |             ::1 | GET      "/user"
[GIN] 2025/06/17 - 11:07:22 | 200 |       514.5µs |             ::1 | GET      "/user/validate"
[GIN] 2025/06/17 - 11:09:39 | 200 |       517.7µs |             ::1 | GET      "/user/validate"
[GIN] 2025/06/17 - 11:09:42 | 200 |       570.1µs |             ::1 | GET      "/role"
[GIN] 2025/06/17 - 11:09:42 | 200 |            0s |             ::1 | GET      "/user"
[GIN] 2025/06/17 - 11:09:43 | 200 |       536.6µs |             ::1 | GET      "/role"
[GIN] 2025/06/17 - 11:09:45 | 200 |      1.4063ms |             ::1 | GET      "/role"
